"Ctrl_gbifID","Ctrl_bibliographicCitation","Ctrl_language","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_datasetName","Ctrl_basisOfRecord","Ctrl_catalogNumber","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_occurrenceStatus","Ctrl_eventDate","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_habitat","Ctrl_fieldNotes","Ctrl_eventRemarks","Ctrl_countryCode","Ctrl_stateProvince","Ctrl_municipality","Ctrl_county","Ctrl_locality","Ctrl_level0Name","Ctrl_level1Name","Ctrl_level2Name","Ctrl_level3Name","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_scientificName","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_geospatial_quality","Ctrl_verbatim_quality","Ctrl_moreInformativeRecord","Ctrl_coordinates_validated_by_gbif_issue","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_reviewed","wcvp_searchNotes","parseGBIF_digital_voucher","parseGBIF_duplicates","parseGBIF_num_duplicates","parseGBIF_non_groupable_duplicates","parseGBIF_duplicates_grouping_status","parseGBIF_unidentified_sample","parseGBIF_sample_taxon_name","parseGBIF_sample_taxon_name_status","parseGBIF_number_taxon_names","parseGBIF_useful_for_spatial_analysis","parseGBIF_decimalLatitude","parseGBIF_decimalLongitude","parseGBIF_freq_duplicate_or_missing_data","parseGBIF_duplicates_map","parseGBIF_merged_fields","parseGBIF_merged"
2629451563,"Avendaño-Reyes, S., I. Acosta R. 2019. Digitalización y sistematización de las colecciones biológicas del INECOL. Instituto Nacional de Ecología, A.C. Base de datos SNIB-CONABIO_Herbario XAL, Proyectos No. ME014, AA002, U021, L090, K004, E008 y P026. Ciudad de México","es","INECOL","XAL","Digitalización y sistematización de las colecciones biológicas del INECOL","PRESERVED_SPECIMEN","3778",,"R. Acevedo R.","PRESENT",1994-09-24,1994,9,24,"NO DISPONIBLE",,,"MX","Jalisco",,"TOMATLAN","Alrededor del Estero El Ermitaño, Tomatlán","México","Jalisco","Tomatlán",,"M. Cházaro B.",,"Achatocarpus gracilis H.Walter",19.94,-105.246667,"ACEVEDO-RODRIGUEZ",,"ACHATOCARPACEAE_ACEVEDO-RODRIGUEZ_",-3,7,4,TRUE,500150,"Species","Accepted","Achatocarpaceae","Achatocarpus gracilis","H.Walter","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus gracilis","identified",1,TRUE,19.94,-105.246667,"","","","FALSE"
3308547905,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México","es","IBUNAM","MEXU","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","PRESERVED_SPECIMEN","845623",,"R. Acosta P.; F. Vázquez B.","PRESENT",1985-07-03,1985,7,3,"Selva Baja Caducifolia, secundaria, arvense. Suelo café claro, areno-arcilloso",,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Ejido Villa Rica","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus nigricans Triana",19.617,-96.467,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.617,-96.467,"","","","FALSE"
3307853541,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México","es","IBUNAM","MEXU","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","PRESERVED_SPECIMEN","668769",,"R. Acosta P.; N. Acosta B.","PRESENT",1985-03-18,1985,3,18,,,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Rancho Manuel Díaz, Sierra Manuel Díaz.","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus mexicanus H.Walter",19.55,-96.467,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Updated",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.55,-96.467,"","","","FALSE"
2629622548,"Avendaño-Reyes, S., I. Acosta R. 2019. Digitalización y sistematización de las colecciones biológicas del INECOL. Instituto Nacional de Ecología, A.C. Base de datos SNIB-CONABIO_Herbario XAL, Proyectos No. ME014, AA002, U021, L090, K004, E008 y P026. Ciudad de México","es","INECOL","XAL","Digitalización y sistematización de las colecciones biológicas del INECOL","PRESERVED_SPECIMEN","3816",,"R. Acosta P.; F. Vázquez B.","PRESENT",1985-07-03,1985,7,3,"Selva baja caducifolia. Arvense",,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Ejido Villa Rica","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus nigricans Triana",19.6,-96.483333,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.6,-96.483333,"","","","FALSE"
2629618573,"Avendaño-Reyes, S., I. Acosta R. 2019. Digitalización y sistematización de las colecciones biológicas del INECOL. Instituto Nacional de Ecología, A.C. Base de datos SNIB-CONABIO_Herbario XAL, Proyectos No. ME014, AA002, U021, L090, K004, E008 y P026. Ciudad de México","es","INECOL","XAL","Digitalización y sistematización de las colecciones biológicas del INECOL","PRESERVED_SPECIMEN","3814",,"R. Acosta P.","PRESENT",1985-03-18,1985,3,18,"Selva baja caducifolia, riparia",,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Rancho Manuel Díaz","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus mexicanus H.Walter",19.55,-96.466667,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Updated",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.55,-96.466667,"","","","FALSE"
1894466048,"Sosa-Ortega V. 1995. Recuento de la diversidad florística de Veracruz. Instituto de Ecología. Bases de datos SNIB-CONABIO, proyecto P011. México, D. F.","es","INECOL","XAL","Recuento de la diversidad florística de Veracruz","PRESERVED_SPECIMEN","NO DISPONIBLE",,"R. Acosta P.; F. Vázquez B.","PRESENT",1985-07-03,1985,7,3,,,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Ejido Villa Rica","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus nigricans Triana",19.616667,-96.466667,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.616667,-96.466667,"","","","FALSE"
1894463813,"Sosa-Ortega V. 1995. Recuento de la diversidad florística de Veracruz. Instituto de Ecología. Bases de datos SNIB-CONABIO, proyecto P011. México, D. F.","es","INECOL","XAL","Recuento de la diversidad florística de Veracruz","PRESERVED_SPECIMEN","NO DISPONIBLE",,"R. Acosta P.; N. Acosta B.","PRESENT",1985-03-18,1985,3,18,,,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Rancho Manuel Díaz, Sierra Manuel Díaz","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus mexicanus H.Walter",19.55,-96.466667,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Updated",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.55,-96.466667,"","","","FALSE"
1419231401,"Guízar-Nolazco E. 2004. Banco de datos florísticos del Herbario CHAP. Herbario CHAP. División de Ciencias Forestales. Universidad Autónoma de Chapingo. Bases de datos SNIB-CONABIO, proyecto U048. México, D. F.","es","UACh","CHAP","Banco de datos florísticos del Herbario CHAP","PRESERVED_SPECIMEN","19141",,"R. Acosta P.; N. Acosta B.","PRESENT",1985-03-18,1985,3,18,"Suelo café-claro, arcilloso, aluvial. Riparia.",,,"MX","Veracruz de ignacio de la llave",,"ACTOPAN","Rancho Manuel Díaz, Sierra Manuel Díaz, mpio. Actopan.","México","Veracruz","Actopan",,"R. Acosta P.",,"Achatocarpus mexicanus H.Walter",19.558333,-96.475,"ACOSTA",,"ACHATOCARPACEAE_ACOSTA_",-3,7,4,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Updated",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,19.558333,-96.475,"","","","FALSE"
1061296006,,"es","INCIVA","TULV",,"PRESERVED_SPECIMEN","TULV17553","1038","J. Adarve","PRESENT",2012-12-27,2012,12,27,"Bosque seco tropical",,,"CO","Valle del Cauca","El Vínculo","Guadalajara de Buga","Parque Natural Regional El Vínculo, Parcela Permanente de Monitoreo","Colombia","Valle del Cauca","Guadalajara de Buga",,"J. Adarve",,"Achatocarpus nigricans Triana",3.836194,-76.295194,"ADARVE",1038,"ACHATOCARPACEAE_ADARVE_1038",-3,9,6,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,TRUE,3.836194,-76.295194,"","","","FALSE"
4026657889,,,"Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH)","Colección de Tejidos del Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH-CT)",,"PRESERVED_SPECIMEN","IAvH-CT-34848","JAC 1553","José  Aguilar-Cano;Sandra Medina;Jhonatan Guzmán","PRESENT",2014-11-20,2014,11,20,,,"En orilla de laguna","CO","Cundinamarca",,"Beltrán","Paquilo, Finca Santa Ana, Camino de herradura hacia Pulí (Cundinamarca)","Colombia","Cundinamarca","Beltrán",,"José  Aguilar-Cano",2015-01-01,"Achatocarpus nigricans Triana",4.663333,-74.774722,"AGUILAR-CANO",1553,"ACHATOCARPACEAE_AGUILAR-CANO_1553",-1,8,7,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,TRUE,2,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,TRUE,4.663333,-74.774722,"{""Ctrl_gbifID"":[{""value"":""1707502177"",""freq"":1},{""value"":""4026657889"",""freq"":1}],""Ctrl_scientificName"":[{""value"":""Achatocarpus nigricans Triana"",""freq"":2}],""Ctrl_recordedBy"":[{""value"":""Aguilar-Cano, J.;Medina, Sandra;Guzmán, Jhonatan"",""freq"":1},{""value"":""José  Aguilar-Cano;Sandra Medina;Jhonatan Guzmán"",""freq"":1}],""Ctrl_recordNumber"":[{""value"":""JAC 1553"",""freq"":2}],""Ctrl_identifiedBy"":[{""value"":""Aguilar-Cano, J."",""freq"":1},{""value"":""José  Aguilar-Cano"",""freq"":1}],""Ctrl_dateIdentified"":[{""value"":""2015-01-01"",""freq"":2}],""Ctrl_institutionCode"":[{""value"":""Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH)"",""freq"":1},{""value"":""Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)"",""freq"":1}],""Ctrl_collectionCode"":[{""value"":""Colección de Tejidos del Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH-CT)"",""freq"":1},{""value"":""FMB"",""freq"":1}],""Ctrl_datasetName"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_datasetName"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_language"":[{""value"":""empty"",""freq"":2.0}],""wcvp_plant_name_id"":[{""value"":""500156"",""freq"":2}],""wcvp_taxon_rank"":[{""value"":""Species"",""freq"":2}],""wcvp_taxon_status"":[{""value"":""Accepted"",""freq"":2}],""wcvp_family"":[{""value"":""Achatocarpaceae"",""freq"":2}],""wcvp_taxon_name"":[{""value"":""Achatocarpus nigricans"",""freq"":2}],""wcvp_taxon_authors"":[{""value"":""Triana"",""freq"":2}],""wcvp_reviewed"":[{""value"":""Y"",""freq"":2}],""wcvp_searchNotes"":[{""value"":""Accepted"",""freq"":2}],""Ctrl_fieldNotes"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_year"":[{""value"":""2014"",""freq"":2}],""Ctrl_stateProvince"":[{""value"":""Cundinamarca"",""freq"":2}],""Ctrl_municipality"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_locality"":[{""value"":""Paquilo, Finca Santa Ana, Camino de herradura hacia Pulí (Cundinamarca)"",""freq"":1},{""value"":""Paquilo, finca Santa Ana. Camino de herradura hacia Pulí (Cundinamarca)"",""freq"":1}],""Ctrl_countryCode"":[{""value"":""CO"",""freq"":2}],""Ctrl_eventDate"":[{""value"":""2014-11-20"",""freq"":2}],""Ctrl_habitat"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_level0Name"":[{""value"":""Colombia"",""freq"":2}],""Ctrl_level1Name"":[{""value"":""Cundinamarca"",""freq"":2}],""Ctrl_level2Name"":[{""value"":""Beltrán"",""freq"":2}],""Ctrl_level3Name"":[{""value"":""empty"",""freq"":2.0}]}","{""Ctrl_gbifID"":[""4026657889"",""1707502177;[1707502177]""],""Ctrl_recordedBy"":[""José  Aguilar-Cano;Sandra Medina;Jhonatan Guzmán"",""Aguilar-Cano, J.;Medina, Sandra;Guzmán, Jhonatan;[1707502177]""],""Ctrl_identifiedBy"":[""José  Aguilar-Cano"",""Aguilar-Cano, J.;[1707502177]""],""Ctrl_collectionCode"":[""Colección de Tejidos del Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH-CT)"",""FMB;[1707502177]""],""Ctrl_locality"":[""Paquilo, Finca Santa Ana, Camino de herradura hacia Pulí (Cundinamarca)"",""Paquilo, finca Santa Ana. Camino de herradura hacia Pulí (Cundinamarca);[1707502177]""]}","","FALSE"
4026660664,,,"Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH)","Colección de Tejidos del Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH-CT)",,"PRESERVED_SPECIMEN","IAvH-CT-20758","JAC 2271","J. Aguilar-Cano;S. Medina","PRESENT",2015-10-19,2015,10,19,,,"árbol de 7m; pedúnculos, cáliz y frutos inmaduros verdes; ramas estigmáticas blancas y café cuando vestigiales; Hojas lustrosas por la haz.","CO","Tolima",,"Armero","Hacienda Jabirú (Sitio B)","Colombia","Tolima","Armero",,"José  Aguilar-Cano",2015-10-19,"Achatocarpus nigricans Triana",5.059436,-74.828194,"AGUILAR-CANO",2271,"ACHATOCARPACEAE_AGUILAR-CANO_2271",-3,8,5,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,TRUE,2,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,TRUE,5.059436,-74.828194,"{""Ctrl_gbifID"":[{""value"":""1707501777"",""freq"":1},{""value"":""4026660664"",""freq"":1}],""Ctrl_scientificName"":[{""value"":""Achatocarpus nigricans Triana"",""freq"":2}],""Ctrl_recordedBy"":[{""value"":""Aguilar-Cano, J.;Medina, Sandra"",""freq"":1},{""value"":""J. Aguilar-Cano;S. Medina"",""freq"":1}],""Ctrl_recordNumber"":[{""value"":""JAC 2271"",""freq"":2}],""Ctrl_identifiedBy"":[{""value"":""Aguilar-Cano, J."",""freq"":1},{""value"":""José  Aguilar-Cano"",""freq"":1}],""Ctrl_dateIdentified"":[{""value"":""2015-10-19"",""freq"":2}],""Ctrl_institutionCode"":[{""value"":""Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH)"",""freq"":1},{""value"":""Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)"",""freq"":1}],""Ctrl_collectionCode"":[{""value"":""Colección de Tejidos del Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH-CT)"",""freq"":1},{""value"":""FMB"",""freq"":1}],""Ctrl_datasetName"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_datasetName"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_language"":[{""value"":""empty"",""freq"":2.0}],""wcvp_plant_name_id"":[{""value"":""500156"",""freq"":2}],""wcvp_taxon_rank"":[{""value"":""Species"",""freq"":2}],""wcvp_taxon_status"":[{""value"":""Accepted"",""freq"":2}],""wcvp_family"":[{""value"":""Achatocarpaceae"",""freq"":2}],""wcvp_taxon_name"":[{""value"":""Achatocarpus nigricans"",""freq"":2}],""wcvp_taxon_authors"":[{""value"":""Triana"",""freq"":2}],""wcvp_reviewed"":[{""value"":""Y"",""freq"":2}],""wcvp_searchNotes"":[{""value"":""Accepted"",""freq"":2}],""Ctrl_fieldNotes"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_year"":[{""value"":""2015"",""freq"":2}],""Ctrl_stateProvince"":[{""value"":""Tolima"",""freq"":2}],""Ctrl_municipality"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_locality"":[{""value"":""Hacienda Jabirú (sitio B)"",""freq"":1},{""value"":""Hacienda Jabirú (Sitio B)"",""freq"":1}],""Ctrl_countryCode"":[{""value"":""CO"",""freq"":2}],""Ctrl_eventDate"":[{""value"":""2015-10-18"",""freq"":1},{""value"":""2015-10-19"",""freq"":1}],""Ctrl_habitat"":[{""value"":""empty"",""freq"":2.0}],""Ctrl_level0Name"":[{""value"":""Colombia"",""freq"":2}],""Ctrl_level1Name"":[{""value"":""Tolima"",""freq"":2}],""Ctrl_level2Name"":[{""value"":""Armero"",""freq"":2}],""Ctrl_level3Name"":[{""value"":""empty"",""freq"":2.0}]}","{""Ctrl_gbifID"":[""4026660664"",""1707501777;[1707501777]""],""Ctrl_recordedBy"":[""J. Aguilar-Cano;S. Medina"",""Aguilar-Cano, J.;Medina, Sandra;[1707501777]""],""Ctrl_identifiedBy"":[""José  Aguilar-Cano"",""Aguilar-Cano, J.;[1707501777]""],""Ctrl_collectionCode"":[""Colección de Tejidos del Instituto de investigación de recursos biológicos Alexander von Humboldt (IAvH-CT)"",""FMB;[1707501777]""],""Ctrl_eventDate"":[""2015-10-19"",""2015-10-18;[1707501777]""]}","","FALSE"
2446663126,,,"B","Herbarium Berolinense",,"PRESERVED_SPECIMEN","B 10 0033990",,"Reyna de Aguilar,M.L.","PRESENT",1991-02-04,1991,2,4,,,,"SV",,,,"El Salvador: Depto. San Salvador, Orilla SW del Lago de Ilopango, porción llamada La Puntona. Vegetación característica: mangollano, amates, palo de mora,limoncillos, chilamate, clavel silvestre y mas al centro, subiendo las laderas se encontró la siguiente vegetación: San Andrés, carreto, crucito, cojón, conacaste negro, cinco negritos, guarumo, chichicaste y caulote. Tambien se visitó La Isla, tambien llamada La Plutona, donde se pudo observar lo siguiente: toda la orilla posee arboles de jiote, mangollanos, jocote y mas hacia el centro, arboles de Neea psychotryoides, conacaste (Enterolobium cyclocarpum), polvo de queso (Albizia adynocephala), gramineas y otras herbaceas. . Arbolito de 4 m, ramificado desde abajo, con ramaje abierto y espinas esparcidas. Las flores muy abundantes y llamativas por los largos pistilos exertos de color blanco. . 1991-02-04, Leg.: Reyna de Aguilar,M.L. 1486 [MLR01486].","El Salvador","La Paz","San Miguel Tepezontes",,"W.Burger (F) 1997",,"Achatocarpus nigricans Triana",13.63333,-89.01667,"AGUILAR",,"ACHATOCARPACEAE_AGUILAR_",-3,6,3,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,13.63333,-89.01667,"","","","FALSE"
1585287211,,,"LAGU","Herbarium LAGU",,"PRESERVED_SPECIMEN","MLR01486",,"Reyna de Aguilar,M.L.","PRESENT",1991-02-04,1991,2,4,,,,"SV",,,,"Depto. San Salvador, Orilla SW del Lago de Ilopango, porción llamada La Puntona","El Salvador","La Paz","San Miguel Tepezontes",,"W.Burger (F) 1997",,"Achatocarpus nigricans Triana",13.63333,-89.01667,"AGUILAR",,"ACHATOCARPACEAE_AGUILAR_",-1,6,5,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,TRUE,13.63333,-89.01667,"","","","FALSE"
1258829899,"http://www.tropicos.org/Specimen/1596718",,"MO","Tropicos","Tropicos","PRESERVED_SPECIMEN","1596718","Aguilar Sierra 105","Domingo Aguilar","PRESENT",1983-02-14,1983,2,14,,,,"HN","Choluteca",,,"Sea Farms, Golfo de Fonseca. Bosque seco tropical.","Honduras","Choluteca","Choluteca",,,,"Achatocarpus nigricans Triana",13.08333,-87.25,"AGUILAR",105,"ACHATOCARPACEAE_AGUILAR_105",-3,8,5,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,TRUE,13.08333,-87.25,"","","","FALSE"
4062061027,"http://www.tropicos.org/Specimen/101886978",,"LAGU","Tropicos","Tropicos","PRESERVED_SPECIMEN","101886978","Reyna de Aguilar 1486","M.L. Reyna de Aguilar","PRESENT",1991-02-04,1991,2,4,,,,"SV","San Salvador",,,"Orilla SW del Lago de llopango, porción llamada La Puntona","El Salvador","La Paz","San Miguel Tepezontes",,"Villacorta, 1996 (LAGU)",,"Achatocarpus nigricans Triana",13.63333,-89.01666,"AGUILAR",1486,"ACHATOCARPACEAE_AGUILAR_1486",-3,8,5,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,TRUE,5,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,TRUE,13.63333,-89.01666,"{""Ctrl_gbifID"":[{""value"":""1258829918"",""freq"":1},{""value"":""4031993547"",""freq"":1},{""value"":""4061365240"",""freq"":1},{""value"":""4061373565"",""freq"":1},{""value"":""4062061027"",""freq"":1}],""Ctrl_scientificName"":[{""value"":""Achatocarpus nigricans Triana"",""freq"":5}],""Ctrl_recordedBy"":[{""value"":""M.L. Reyna de Aguilar"",""freq"":5}],""Ctrl_recordNumber"":[{""value"":""Reyna de Aguilar 1486"",""freq"":5}],""Ctrl_identifiedBy"":[{""value"":""Villacorta, 1996 (LAGU)"",""freq"":5}],""Ctrl_dateIdentified"":[{""value"":""empty"",""freq"":5.0}],""Ctrl_institutionCode"":[{""value"":""B"",""freq"":1},{""value"":""EAP"",""freq"":1},{""value"":""F"",""freq"":1},{""value"":""LAGU"",""freq"":1},{""value"":""MO"",""freq"":1}],""Ctrl_collectionCode"":[{""value"":""Tropicos"",""freq"":5}],""Ctrl_datasetName"":[{""value"":""Tropicos"",""freq"":5}],""Ctrl_datasetName"":[{""value"":""Tropicos"",""freq"":5}],""Ctrl_language"":[{""value"":""empty"",""freq"":5.0}],""wcvp_plant_name_id"":[{""value"":""500156"",""freq"":5}],""wcvp_taxon_rank"":[{""value"":""Species"",""freq"":5}],""wcvp_taxon_status"":[{""value"":""Accepted"",""freq"":5}],""wcvp_family"":[{""value"":""Achatocarpaceae"",""freq"":5}],""wcvp_taxon_name"":[{""value"":""Achatocarpus nigricans"",""freq"":5}],""wcvp_taxon_authors"":[{""value"":""Triana"",""freq"":5}],""wcvp_reviewed"":[{""value"":""Y"",""freq"":5}],""wcvp_searchNotes"":[{""value"":""Accepted"",""freq"":5}],""Ctrl_fieldNotes"":[{""value"":""empty"",""freq"":5.0}],""Ctrl_year"":[{""value"":""1991"",""freq"":5}],""Ctrl_stateProvince"":[{""value"":""San Salvador"",""freq"":5}],""Ctrl_municipality"":[{""value"":""empty"",""freq"":5.0}],""Ctrl_locality"":[{""value"":""Orilla SW del Lago de llopango, porción llamada La Puntona"",""freq"":5}],""Ctrl_countryCode"":[{""value"":""SV"",""freq"":5}],""Ctrl_eventDate"":[{""value"":""1991-02-04"",""freq"":5}],""Ctrl_habitat"":[{""value"":""empty"",""freq"":5.0}],""Ctrl_level0Name"":[{""value"":""El Salvador"",""freq"":5}],""Ctrl_level1Name"":[{""value"":""La Paz"",""freq"":5}],""Ctrl_level2Name"":[{""value"":""San Miguel Tepezontes"",""freq"":5}],""Ctrl_level3Name"":[{""value"":""empty"",""freq"":5.0}]}","{""Ctrl_gbifID"":[""4062061027"",""4061373565;[4061373565]"",""4061365240;[4061365240]"",""4031993547;[4031993547]"",""1258829918;[1258829918]""],""Ctrl_institutionCode"":[""LAGU"",""EAP;[4061373565]"",""F;[4061365240]"",""MO;[4031993547]"",""B;[1258829918]""]}","","FALSE"
1427549888,,,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Herbario Federico Meden Bogotá del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (FMB)","Planeación ambiental para la conservación de la biodiversidad en las áreas operativas de Ecopetrol","PRESERVED_SPECIMEN","Temp-AAM616","JAC 1553","José Aguilar Cano;Sandra Medina;Jhonatan Guzmán","PRESENT",2014-11-20,2014,11,20,,,,"CO","Cundinamarca",,"Beltrán","Paquiló. Finca Santa Ana. Camino de herradura hacia Pulí (Cundinamarca).","Colombia","Cundinamarca","Beltrán",,"Jose Aguilar Cano",2015-01-01,"Achatocarpus nigricans Triana",4.663479,-74.774754,"AGUILAR",1553,"ACHATOCARPACEAE_AGUILAR_1553",-1,8,7,TRUE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,TRUE,4.663479,-74.774754,"","","","FALSE"
